X,Y,capacite,couverture,surveillance,lumiere,proprietaire,gestionnaire
5.0535611,47.3185570000938,,False,False,,,
4.8679327,45.781982700375,8.0,False,False,,,
7.7678595,48.569607899799,8.0,False,False,,,
5.0505493,45.0487319004635,4.0,False,False,,,Valence Roman Déplacement
2.1255325,48.8015131997415,8.0,False,False,,,
3.8009168,43.5075572005418,8.0,False,False,,,
2.5099911,48.6135752997881,,False,False,,,
1.444323,43.6078343005412,6.0,True,False,,,
4.7948928,45.7857762003744,12.0,False,False,,,Grand Lyon
5.0734458,47.3119660000952,12.0,True,False,,,
1.4303631,43.622866800541,4.0,False,False,,,
1.47053763558911,43.5709336426824,16.0,True,False,,,
0.9816704,47.4179290000719,2.0,False,False,,,
4.8411173,44.1172769005283,,False,False,,,
2.3980764,48.84797449973,8.0,False,False,,Mairie de Paris,
0.1992234,48.0047693999365,6.0,False,False,,,
4.76065527181586,44.5712838771184,30.0,False,False,,,
4.8303775,46.3019477002932,4.0,False,False,,,
4.8810862,45.7570006003785,8.0,False,False,,,Grand Lyon
3.0144924,43.1796864005401,3.0,False,False,,,
1.3262846,43.6510765005407,6.0,False,False,,,
0.9823699,47.1352138001331,6.0,True,False,,,Super U
7.7639043,48.5609318998011,8.0,False,False,,,
2.5610463,48.9373977997078,12.0,False,False,,,
4.3895428,45.4354272004208,4.0,False,False,,,
2.31938596492148,48.8128154014895,34.0,False,False,,,Ville de Montrouge
7.25185764701395,48.4981782972448,18.0,True,False,,,TER Grand-Est
7.7396932,48.5766487997972,24.0,False,False,,,
1.4432606,43.5971582005412,6.0,False,False,,,
1.9050188,47.9010392999612,4.0,False,False,,,
5.7562298,45.1776619004503,6.0,False,False,,,Grenoble Alpes Métropole
0.2078136,48.0235322999321,4.0,False,False,,,
-3.02903902950181,47.5737813276357,,False,False,,,
3.062616,45.7732836003762,4.0,False,False,,,
4.8968377,45.7496148003795,10.0,False,False,,,Grand Lyon
2.3244631,48.831735799734,8.0,False,False,,,
-1.1554605,46.1520191003183,3.0,False,False,,,
2.3421857,48.8912871997193,12.0,False,False,,,
0.1827698,48.0003167999376,4.0,False,False,,,
3.0898634,45.7615286003779,20.0,False,False,,,
4.8670282,45.7771167003756,10.0,False,False,,,Grand Lyon
-1.3090906,46.9837951001646,6.0,False,False,,,
7.7085708,48.730933099759,,False,False,,,
7.45201814642787,48.2527139666528,,False,False,,,
2.9417336,42.6720026005256,6.0,False,False,,,
4.774635,45.5858717004018,10.0,False,False,,,
7.7500175,48.5819527997959,10.0,False,False,,,
2.4100746,48.7659043997504,12.0,True,False,,,CG94
